0;1;2;3;4;5;6;7;8;9;10
0.993956;0.935766;0.873826;0.812919;0.751083;0.688587;0.629918;0.572486;0.517912;0.470039;0.425939
0.993395;0.936912;0.876698;0.817541;0.757506;0.696871;0.640108;0.58463;0.532036;0.486122;0.443948
0.992809;0.93807;0.879617;0.822232;0.764007;0.705231;0.65035;0.596788;0.546119;0.502101;0.461779
0.992198;0.939233;0.882566;0.82697;0.770562;0.713635;0.660616;0.608934;0.560143;0.517962;0.479426
0.991562;0.940394;0.88553;0.831736;0.777148;0.722061;0.670882;0.621046;0.574088;0.53369;0.49688
0.990901;0.941546;0.888499;0.836514;0.783743;0.730487;0.681127;0.633105;0.587939;0.549275;0.514136
0.990216;0.942684;0.891462;0.84129;0.790333;0.738894;0.691332;0.645095;0.601681;0.564705;0.531186
0.989506;0.943804;0.894412;0.846051;0.796902;0.747267;0.701482;0.657;0.615302;0.579971;0.548024
0.988771;0.944901;0.897339;0.850787;0.803438;0.755593;0.711562;0.668807;0.62879;0.595063;0.564642
0.988012;0.945973;0.900238;0.85549;0.80993;0.763859;0.721561;0.680504;0.642135;0.609973;0.581035
0.987227;0.947016;0.903104;0.86015;0.816369;0.772054;0.731467;0.692082;0.655326;0.624693;0.597195
0.986418;0.948029;0.905931;0.864762;0.822745;0.780169;0.741271;0.703529;0.668356;0.639214;0.613117
0.985585;0.949008;0.908715;0.86932;0.829051;0.788196;0.750964;0.714838;0.681216;0.653529;0.628793
0.984727;0.949952;0.911452;0.873817;0.835281;0.796127;0.760538;0.726001;0.693898;0.667631;0.644218
0.983844;0.950859;0.914139;0.878249;0.841429;0.803956;0.769985;0.73701;0.706395;0.681514;0.659385
0.982936;0.951728;0.916773;0.882612;0.847489;0.811675;0.779299;0.747858;0.7187;0.69517;0.674288
0.982004;0.952557;0.919351;0.886901;0.853456;0.81928;0.788474;0.75854;0.730807;0.708595;0.688921
0.981048;0.953344;0.921871;0.891113;0.859326;0.826765;0.797503;0.769048;0.74271;0.72178;0.703279
0.980067;0.95409;0.92433;0.895245;0.865095;0.834125;0.806383;0.779377;0.754403;0.734722;0.717356
0.979061;0.954792;0.926725;0.899294;0.870758;0.841356;0.815107;0.789522;0.76588;0.747414;0.731146
0.978031;0.955449;0.929057;0.903257;0.876312;0.848454;0.82367;0.799477;0.777136;0.75985;0.744643
